Code,borough,Inner/_Outer_London,GLA_Population_Estimate_2017,GLA_Household_Estimate_2017,Inland_Area_(Hectares),Population_density_(per_hectare)_2017,"Average_Age,_2017","Proportion_of_population_aged_0-15,_2015","Proportion_of_population_of_working-age,_2015","Proportion_of_population_aged_65_and_over,_2015",Net_internal_migration_(2015),Net_international_migration_(2015),Net_natural_change_(2015),%_of_resident_population_born_abroad_(2015),Largest_migrant_population_by_country_of_birth_(2011),%_of_largest_migrant_population_(2011),Second_largest_migrant_population_by_country_of_birth_(2011),%_of_second_largest_migrant_population_(2011),Third_largest_migrant_population_by_country_of_birth_(2011),%_of_third_largest_migrant_population_(2011),%_of_population_from_BAME_groups_(2016),%_people_aged_3+_whose_main_language_is_not_English_(2011_Census),"Overseas_nationals_entering_the_UK_(NINo),_(2015/16)","New_migrant_(NINo)_rates,_(2015/16)",Largest_migrant_population_arrived_during_2015/16,Second_largest_migrant_population_arrived_during_2015/16,Third_largest_migrant_population_arrived_during_2015/16,Employment_rate_(%)_(2015),Male_employment_rate_(2015),Female_employment_rate_(2015),Unemployment_rate_(2015),Youth_Unemployment_(claimant)_rate_18-24_(Dec-15),Proportion_of_16-18_year_olds_who_are_NEET_(%)_(2014),Proportion_of_the_working-age_population_who_claim_out-of-work_benefits_(%)_(May-2016),%_working-age_with_a_disability_(2015),Proportion_of_working_age_people_with_no_qualifications_(%)_2015,Proportion_of_working_age_with_degree_or_equivalent_and_above_(%)_2015,"Gross_Annual_Pay,_(2016)",Gross_Annual_Pay_-_Male_(2016),Gross_Annual_Pay_-_Female_(2016),Modelled_Household_median_income_estimates_2012/13,%_adults_that_volunteered_in_past_12_months_(2010/11_to_2012/13),Number_of_jobs_by_workplace_(2014),%_of_employment_that_is_in_public_sector_(2014),"Jobs_Density,_2015","Number_of_active_businesses,_2015",Two-year_business_survival_rates_(started_in_2013),Crime_rates_per_thousand_population_2014/15,Fires_per_thousand_population_(2014),Ambulance_incidents_per_hundred_population_(2014),"Median_House_Price,_2015","Average_Band_D_Council_Tax_charge_(�),_2015/16",New_Homes_(net)_2015/16_(provisional),"Homes_Owned_outright,_(2014)_%","Being_bought_with_mortgage_or_loan,_(2014)_%","Rented_from_Local_Authority_or_Housing_Association,_(2014)_%","Rented_from_Private_landlord,_(2014)_%","%_of_area_that_is_Greenspace,_2005",Total_carbon_emissions_(2014),"Household_Waste_Recycling_Rate,_2014/15","Number_of_cars,_(2011_Census)","Number_of_cars_per_household,_(2011_Census)","%_of_adults_who_cycle_at_least_once_per_month,_2014/15","Average_Public_Transport_Accessibility_score,_2014","Achievement_of_5_or_more_A*-_C_grades_at_GCSE_or_equivalent_including_English_and_Maths,_2013/14",Rates_of_Children_Looked_After_(2016),%_of_pupils_whose_first_language_is_not_English_(2015),%_children_living_in_out-of-work_households_(2015),"Male_life_expectancy,_(2012-14)","Female_life_expectancy,_(2012-14)",Teenage_conception_rate_(2014),Life_satisfaction_score_2011-14_(out_of_10),Worthwhileness_score_2011-14_(out_of_10),Happiness_score_2011-14_(out_of_10),Anxiety_score_2011-14_(out_of_10),Childhood_Obesity_Prevalance_(%)_2015/16,People_aged_17+_with_diabetes_(%),Mortality_rate_from_causes_considered_preventable_2012/14,Political_control_in_council,Proportion_of_seats_won_by_Conservatives_in_2014_election,Proportion_of_seats_won_by_Labour_in_2014_election,Proportion_of_seats_won_by_Lib_Dems_in_2014_election,Turnout_at_2014_local_elections
E09000001,City of London,Inner London,8800.0,5326.0,290.0,30.3,43.2,11.4,73.1,15.5,-7.0,665.0,30.0,null,United States,2.8,France,2,Australia,1.9,27.5,17.1,975,152.2,India,France,United States,64.6,null,null,null,1.6,null,3.4,null,null,null,null,null,null,"�63,620 ",null,500400,3.4,84.3,26130,64.3,null,12.3,null,799999,931.2,80,null,null,null,null,4.8,1036,34.4,1692,0.4,16.9,7.9,78.6,101,null,7.9,null,null,null,6.6,7.1,6,5.6,null,2.6,129,null,null,null,null,null
E09000002,Barking and Dagenham,Outer London,209000.0,78188.0,3611.0,57.9,32.9,27.2,63.1,9.7,-1176.0,2509.0,2356.0,37.8,Nigeria,4.7,India,2.3,Pakistan,2.3,49.5,18.7,"7,538",59.1,Romania,Bulgaria,Lithuania,65.8,75.6,56.5,11,4.5,5.7,10.5,17.2,11.3,32.2,27886,30104,24602,"�29,420 ",20.5,58900,21.1,0.5,6560,73,83.4,3,13.7,243500,1354.03,730,16.4,27.4,35.9,20.3,33.6,644,23.4,56966,0.8,8.8,3,58,69,41.7,18.7,77.6,82.1,32.4,7.1,7.6,7.1,3.1,28.5,7.3,228,Lab,0,100,0,36.5
E09000003,Barnet,Outer London,389600.0,151423.0,8675.0,44.9,37.3,21.1,64.9,14.0,-3379.0,5407.0,2757.0,35.2,India,3.1,Poland,2.4,Iran,2,38.7,23.4,"13,094",53.1,Romania,Poland,Italy,68.5,74.5,62.9,8.5,1.9,2.5,6.2,14.9,5.2,49,33443,36475,31235,"�40,530 ",33.2,167300,18.7,0.7,26190,73.8,62.7,1.6,11.1,445000,1397.07,1460,32.4,25.2,11.1,31.1,41.3,1415,38,144717,1.1,7.4,3,67.3,35,46,9.3,82.1,85.1,12.8,7.5,7.8,7.4,2.8,20.7,6,134,Cons,50.8,.,1.6,40.5
E09000004,Bexley,Outer London,244300.0,97736.0,6058.0,40.3,39.0,20.6,62.9,16.6,413.0,760.0,1095.0,16.1,Nigeria,2.6,India,1.5,Ireland,0.9,21.4,6,"2,198",14.4,Romania,Poland,Nigeria,75.1,82.1,68.5,7.6,2.9,3.4,6.8,15.9,10.8,33.5,34350,37881,28924,"�36,990 ",22.1,80700,15.9,0.6,9075,73.5,51.8,2.3,11.8,275000,1472.43,-130,38.1,35.3,15.2,11.4,31.7,975,54,108507,1.2,10.6,2.6,60.3,46,32.6,12.6,80.4,84.4,19.5,7.4,7.7,7.2,3.3,22.7,6.9,164,Cons,71.4,23.8,0,39.6
E09000005,Brent,Outer London,332100.0,121048.0,4323.0,76.8,35.6,20.9,67.8,11.3,-7739.0,7640.0,3372.0,53.9,India,9.2,Poland,3.4,Ireland,2.9,64.9,37.2,"22,162",100.9,Romania,Italy,Portugal,69.5,76,62.6,7.5,3.1,2.6,8.3,17.7,6.2,45.1,29812,30129,29600,"�32,140 ",17.3,133600,17.6,0.6,15745,74.4,78.8,1.8,12.1,407250,1377.24,1050,22.2,22.6,20.4,34.8,21.9,1175,35.2,87802,0.8,7.9,3.7,60.1,45,37.6,13.7,80.1,85.1,18.5,7.3,7.4,7.2,2.9,24.3,7.9,169,Lab,9.5,88.9,1.6,36.3
E09000006,Bromley,Outer London,327900.0,140602.0,15013.0,21.8,40.2,19.9,62.6,17.5,1342.0,796.0,1445.0,18.3,India,1.1,Ireland,1.1,Nigeria,0.7,18.9,5.8,"2,924",14.4,Romania,Italy,Spain,75.3,80.4,70.4,5.3,2.5,4.3,6,15.9,4.3,46.7,37682,42026,32491,"�43,060 ",29,127800,13.9,0.6,15695,78.6,64.1,2.3,11.2,374975,1347.27,700,37.8,34.9,13.2,14.1,57.8,1180,48,153908,1.2,13,2.8,68,40,38.9,10.2,81.4,84.9,16.7,7.5,7.9,7.4,3.3,16,5.2,148,Cons,85,11.7,0,40.8
E09000007,Camden,Inner London,242500.0,107654.0,2179.0,111.3,36.4,17.3,71.0,11.7,-2917.0,7504.0,1618.0,41.4,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,23.5,"10,384",60.7,Italy,France,Spain,69.2,72.2,66.1,4,3.6,4.4,8.5,21.3,6.1,61.1,39796,.,36632,"�43,750 ",21.9,377400,12.4,2.2,31385,73.6,123.5,2.7,14.8,700000,1359.66,970,18.5,15.1,34.4,32,24.8,1288,26.3,46601,0.5,18.8,5.7,62.7,41,25.2,16.5,81.8,86.7,16.8,7.1,7.4,7.1,3.6,21.3,3.9,164,Lab,22.2,74.1,1.9,38.7
E09000008,Croydon,Outer London,386500.0,159010.0,8650.0,44.7,37.0,22.0,64.9,13.0,-2605.0,2438.0,3164.0,29.4,India,3.6,Jamaica,2.5,Ghana,1.5,49.9,14.5,"7,946",32.3,Romania,Poland,Italy,75.4,81.8,69.5,4.1,4.8,3.3,7.8,17.5,7,40.6,32696,35839,29819,"�37,000 ",27.2,141600,20.1,0.6,15540,75.3,77,2.2,12.8,300000,1494.13,2040,30.8,33.6,16.7,18.6,37.1,1237,39.9,140049,1,12.8,3.2,57.7,86,36.7,14.1,80.3,83.6,28.4,7.1,7.6,7.2,3.3,24.5,6.5,178,Lab,42.9,57.1,0,38.6
E09000009,Ealing,Outer London,351600.0,132663.0,5554.0,63.3,36.2,21.4,66.8,11.8,-6473.0,4007.0,3404.0,47.4,India,7.6,Poland,6.4,Ireland,2.3,53.5,33.9,"14,927",65.2,Poland,Romania,Italy,72.7,81.2,63.8,5.8,3,3,7.9,15.2,9.1,49.7,31331,32185,29875,"�36,070 ",32.1,160500,13.6,0.7,18700,75.8,75.5,1.9,11.3,430000,1335.93,720,20.1,30.2,14.3,35,30.9,1342,40.1,112845,0.9,15,3.3,62.1,46,43.6,13.1,80.6,84.2,17.8,7.3,7.6,7.3,3.6,23.8,6.9,164,Lab,17.4,76.8,5.8,41.2
E09000010,Enfield,Outer London,333000.0,130328.0,8083.0,41.2,36.3,22.8,64.4,12.8,-2077.0,3164.0,2769.0,35.0,Turkey,4.5,Cyprus (Not otherwise specified),3.6,Poland,1.9,42.3,22.9,"9,259",43.8,Romania,Bulgaria,Poland,73,80.4,66,3.8,3.3,3.1,9.3,18.4,4.5,43.4,31603,35252,30222,"�33,110 ",22.4,128800,21.7,0.6,13925,74.2,69.4,2.2,12.2,320000,1420.17,670,25.6,36.2,17.2,21,45.6,1245,38.5,119653,1,7.9,3,59.9,43,55.3,17.4,80.7,84.1,24.6,7.3,7.6,7.3,2.6,25.2,7,152,Lab,34.9,65.1,0,38.2
